Gender,Child's First Name,Count
MALE,ADEN,19
MALE,ADONIS,11
MALE,ADRIAN,18
MALE,AHMED,11
MALE,AIDAN,20
MALE,AIDEN,167
MALE,ALEXANDER,39
MALE,ALI,11
MALE,ALIJAH,10
MALE,ALVIN,10
MALE,AMADOU,15
MALE,AMAR'E,12
MALE,AMARE,15
MALE,AMARI,57
MALE,AMIR,89
MALE,ANDRE,22
MALE,ANDREW,36
MALE,ANGEL,10
MALE,ANTHONY,66
MALE,ANTONIO,15
MALE,ASHTON,18
MALE,AUSTIN,13
MALE,AVERY,19
MALE,AYDEN,88
MALE,BENJAMIN,13
MALE,BLAKE,19
MALE,BRANDON,57
MALE,BRIAN,22
MALE,BRYAN,10
MALE,BRYCE,35
MALE,BRYSON,14
MALE,CALEB,44
MALE,CAMERON,47
MALE,CARMELO,13
MALE,CARTER,35
MALE,CAYDEN,11
MALE,CHAD,12
MALE,CHANCE,15
MALE,CHARLES,15
MALE,CHASE,41
MALE,CHRIS,10
MALE,CHRISTIAN,91
MALE,CHRISTOPHER,80
MALE,CODY,10
MALE,COREY,10
MALE,DANIEL,81
MALE,DARIUS,12
MALE,DARREN,12
MALE,DAVID,84
MALE,DERRICK,10
MALE,DEVIN,24
MALE,DEVON,10
MALE,DOMINIC,17
MALE,DONOVAN,10
MALE,DWAYNE,14
MALE,DYLAN,42
MALE,EDWARD,10
MALE,ELI,22
MALE,ELIAS,14
MALE,ELIJAH,156
MALE,EMMANUEL,46
MALE,ERIC,14
MALE,ETHAN,124
MALE,EVAN,26
MALE,GABRIEL,36
MALE,GAVIN,18
MALE,GEORGE,10
MALE,GIOVANNI,14
MALE,HASSAN,10
MALE,HAYDEN,12
MALE,HUNTER,12
MALE,IAN,21
FEMALE,SERENA,16
MALE,IBRAHIMA,11
MALE,ISAAC,18
MALE,ISAIAH,105
MALE,ISHMAEL,10
MALE,ISIAH,11
MALE,JACE,21
MALE,JACKSON,11
MALE,JACOB,82
MALE,JADEN,75
MALE,JAHEIM,10
MALE,JAHMIR,14
MALE,JAIDEN,35
MALE,JALEN,15
MALE,JAMAL,13
MALE,JAMEL,13
MALE,JAMES,33
MALE,JAMIR,12
MALE,JARED,12
MALE,JASIAH,16
MALE,JASON,44
MALE,JAYDEN,184
MALE,JAYLEN,38
MALE,JAYSON,14
MALE,JELANI,11
MALE,JEREMIAH,153
MALE,JEREMY,15
MALE,JERMAINE,16
MALE,JESSE,12
MALE,JOEL,37
MALE,JOHN,34
MALE,JONATHAN,53
MALE,JORDAN,53
MALE,JOSEPH,35
MALE,JOSHUA,128
MALE,JOSIAH,121
FEMALE,SHAINA,16
MALE,JUSTICE,11
MALE,JUSTIN,85
MALE,KADEN,22
MALE,KAI,14
MALE,KAIDEN,28
MALE,KALEB,18
MALE,KAMARI,17
MALE,KAMERON,14
MALE,KAYDEN,37
MALE,KEITH,12
MALE,KENNETH,16
MALE,KEVIN,28
MALE,KHALIL,19
MALE,KING,14
MALE,KIYAN,12
MALE,KYLE,40
MALE,KYMANI,19
MALE,LAMAR,15
MALE,LANDON,11
MALE,LEVI,15
MALE,LIAM,61
MALE,LOGAN,25
MALE,LUCAS,12
MALE,MAKAI,10
MALE,MALACHI,72
MALE,MALCOLM,11
